ticker,ev_ebit,roic,ev_ebit_rank,roic_rank,magic_formula
PSSA3,0.27,0.519,1,5,6
SYNE3,1.26,0.38,4,14,18
BRKM3,2.14,0.398,8,11,19
BRKM5,2.18,0.398,9,12,21
CMIN3,2.92,0.647,19,2,21
USIM3,1.55,0.342,5,20,25
GOAU3,0.96,0.317,2,23,25
VALE3,2.8,0.42,16,9,25
USIM5,1.64,0.342,6,21,27
GOAU4,1.06,0.317,3,24,27
ETER3,2.87,0.404,18,10,28
PLPL3,2.27,0.35,10,19,29
CSNA3,2.62,0.356,13,18,31
MRFG3,2.81,0.363,17,16,33
TASA3,3.89,0.514,29,6,35
AURA33,3.74,0.431,27,8,35
UNIP3,4.24,0.519,33,3,36
GGBR3,2.58,0.317,12,25,37
TASA4,3.94,0.514,30,7,37
UNIP6,4.47,0.519,39,4,43
GGBR4,3.2,0.317,21,26,47
AGRO3,3.94,0.318,31,22,53
FHER3,2.8,0.233,15,39,54
CRPG5,4.49,0.31,40,28,68
WIZS3,3.2,0.215,22,46,68
PETR4,3.61,0.216,26,44,70
LVTC3,3.56,0.213,25,47,72
PETR3,3.79,0.216,28,45,73
FESA4,5.0,0.312,47,27,74
LEVE3,4.88,0.282,45,30,75
RANI3,4.85,0.256,43,32,75
ALLD3,3.54,0.194,23,54,77
JALL3,5.69,0.254,52,33,85
JBSS3,4.64,0.212,42,49,91
CURY3,5.21,0.208,49,51,100
PTBL3,5.69,0.21,51,50,101
EUCA4,2.95,0.148,20,83,103
BEEF3,6.55,0.224,63,41,104
DEXP3,5.36,0.191,50,55,105
SAPR3,4.32,0.158,34,71,105
RAPT4,4.46,0.163,38,68,106
SAPR4,4.38,0.158,35,72,107
SAPR11,4.39,0.158,36,73,109
RSUL4,7.04,0.238,72,37,109
QUAL3,7.25,0.245,75,35,110
BRBI11,9.39,2.461,109,1,110
ALUP11,4.39,0.157,37,74,111
LAVV3,3.55,0.135,24,92,116
KEPL3,7.51,0.248,82,34,116
PARD3,6.81,0.207,67,53,120
PCAR3,2.08,0.116,7,116,123
JHSF3,4.86,0.151,44,80,124
BLAU3,9.61,0.36,111,17,128
CGAS5,9.03,0.263,104,31,135
ASAI3,8.32,0.224,97,42,139
ODPV3,10.97,0.373,125,15,140
TRPL4,6.07,0.142,54,87,141
PRIO3,9.79,0.302,113,29,142
CARD3,8.12,0.191,89,56,145
SLCE3,6.91,0.153,70,79,149
CAMB3,7.12,0.156,73,77,150
